capture_time sport dport ssrc seq ts delta_ts delta_frames ft q payload_len payload_hex
4.055393 4010 4000 1341999343 3930 3603262773 160 1 2 1 16 f14f6dbe0700ee183c74e7e9f298bab7
4.072558 4000 4010 1758153794 18269 2511032880 160 1 2 1 16 f16ca87e0708f53e94750fa62202be00
4.074724 4010 4000 1341999343 3931 3603262933 160 1 2 1 16 f16ca87e0708f53e94750fa62202be00
4.092876 4000 4010 1758153794 18270 2511033040 160 1 2 1 16 f14f687e0700e62e1c7195ffaa815e02
4.095043 4010 4000 1341999343 3932 3603263093 160 1 2 1 16 f14f687e0700e62e1c7195ffaa815e02
4.112273 4000 4010 1758153794 18271 2511033200 160 1 2 1 16 f160034e01032648c476d64401030332
4.115455 4010 4000 1341999343 3933 3603263253 160 1 2 1 16 f160034e01032648c476d64401030332
4.132606 4000 4010 1758153794 18272 2511033360 160 1 2 1 16 f14ea6be0601f74f3c71bf5275100a15
4.134753 4010 4000 1341999343 3934 3603263413 160 1 2 1 16 f14ea6be0601f74f3c71bf5275100a15
4.152951 4000 4010 1758153794 18273 2511033520 160 1 2 1 16 f14f6dbe07805e2cb4766c049a0bd463
4.155093 4010 4000 1341999343 3935 3603263573 160 1 2 1 16 f14f6dbe07805e2cb4766c049a0bd463
4.172248 4000 4010 1758153794 18274 2511033680 160 1 2 1 16 f16ca87e07a8555eb477e5b170aaf20c
4.175415 4010 4000 1341999343 3936 3603263733 160 1 2 1 16 f16ca87e07a8555eb477e5b170aaf20c
4.192572 4000 4010 1758153794 18275 2511033840 160 1 2 1 16 f14f687e07e00e05a470f52afdd5ffcd
4.194780 4010 4000 1341999343 3937 3603263893 160 1 2 1 16 f14f687e07e00e05a470f52afdd5ffcd
4.212912 4000 4010 1758153794 18276 2511034000 160 1 2 1 16 f16cadbe0758803cb47447c14b16517b
4.215110 4010 4000 1341999343 3938 3603264053 160 1 2 1 16 f16cadbe0758803cb47447c14b16517b
4.232262 4000 4010 1758153794 18277 2511034160 160 1 2 1 16 f14f66be07a04634b4766f2bfba0de0a
4.235438 4010 4000 1341999343 3939 3603264213 160 1 2 1 16 f14f66be07a04634b4766f2bfba0de0a
4.252557 4000 4010 1758153794 18278 2511034320 160 1 2 1 16 f16cadbe06f901c5a4707fc641991611
4.254767 4010 4000 1341999343 3940 3603264373 160 1 2 1 16 f16cadbe06f901c5a4707fc641991611
4.272893 4000 4010 1758153794 18279 2511034480 160 1 2 1 16 f14f687e07a0063c2c7565701011cc22
4.275096 4010 4000 1341999343 3941 3603264533 160 1 2 1 16 f14f687e07a0063c2c7565701011cc22
4.292254 4000 4010 1758153794 18280 2511034640 160 1 2 1 16 f16ca87e0699605f84768fc76365ae22
4.295438 4010 4000 1341999343 3942 3603264693 160 1 2 1 16 f16ca87e0699605f84768fc76365ae22
4.312617 4000 4010 1758153794 18281 2511034800 160 1 2 1 16 f14f6dbe07608e694c747d2622187420
4.314732 4010 4000 1341999343 3943 3603264853 160 1 2 1 16 f14f6dbe07608e694c747d2622187420
4.332951 4000 4010 1758153794 18282 2511034960 160 1 2 1 16 f16ca6be06e9156f9470cf2e4aff9d97
4.335056 4010 4000 1341999343 3944 3603265013 160 1 2 1 16 f16ca6be06e9156f9470cf2e4aff9d97
4.352273 4000 4010 1758153794 18283 2511035120 160 1 2 1 16 f14f6dbe0621ce196474e7e9328c7aea
4.355375 4010 4000 1341999343 3945 3603265173 160 1 2 1 16 f14f6dbe0621ce196474e7e9328c7aea
4.372502 4000 4010 1758153794 18284 2511035280 160 1 2 1 16 f16ca87e025cb06bc470f5e340415700
4.374534 4010 4000 1341999343 3946 3603265333 160 1 2 1 16 f16ca87e025cb06bc470f5e340415700
4.392884 4000 4010 1758153794 18285 2511035440 160 1 2 1 16 f14f687e0601e6787c731ff9ca938225
4.394843 4010 4000 1341999343 3947 3603265493 160 1 2 1 16 f14f687e0601e6787c731ff9ca938225
4.412222 4000 4010 1758153794 18286 2511035600 160 1 2 1 16 f16cadbe0738c0370c729e626bb2a2b1
4.415188 4010 4000 1341999343 3948 3603265653 160 1 2 1 16 f16cadbe0738c0370c729e626bb2a2b1
4.432543 4000 4010 1758153794 18287 2511035760 160 1 2 1 16 f14f66be0601e67d2c77d7f02d63556f
4.435521 4010 4000 1341999343 3949 3603265813 160 1 2 1 16 f14f66be0601e67d2c77d7f02d63556f
4.452868 4000 4010 1758153794 18288 2511035920 160 1 2 1 16 f16cadbe067980e61c710fcf70401945
4.454858 4010 4000 1341999343 3950 3603265973 160 1 2 1 16 f16cadbe067980e61c710fcf70401945
4.472232 4000 4010 1758153794 18289 2511036080 160 1 2 1 16 f14f687e0601e678f472cff4d5b4251b
4.475209 4010 4000 1341999343 3951 3603266133 160 1 2 1 16 f14f687e0601e678f472cff4d5b4251b
4.492530 4000 4010 1758153794 18290 2511036240 160 1 2 1 16 f16ca87e0659a06bc473af844066b276
4.495531 4010 4000 1341999343 3952 3603266293 160 1 2 1 16 f16ca87e0659a06bc473af844066b276
4.512857 4000 4010 1758153794 18291 2511036400 160 1 2 1 16 f14f6dbe0601ee596c7467ec7d58501a
4.514871 4010 4000 1341999343 3953 3603266453 160 1 2 1 16 f14f6dbe0601ee596c7467ec7d58501a
4.532209 4000 4010 1758153794 18292 2511036560 160 1 2 1 16 f16ca6be0778803bc477170d0426c548
4.535203 4010 4000 1341999343 3954 3603266613 160 1 2 1 16 f16ca6be0778803bc477170d0426c548
4.552486 4000 4010 1758153794 18293 2511036720 160 1 2 1 16 f14f6dbe0601ee996c74e7e9129e7ae9
4.555588 4010 4000 1341999343 3955 3603266773 160 1 2 1 16 f14f6dbe0601ee996c74e7e9129e7ae9
4.572818 4000 4010 1758153794 18294 2511036880 160 1 2 1 16 f16ca87e0738c0b6947585c8b0517355
4.574916 4010 4000 1341999343 3956 3603266933 160 1 2 1 16 f16ca87e0738c0b6947585c8b0517355
4.592168 4000 4010 1758153794 18295 2511037040 160 1 2 1 16 f14f687e0601e659e471d7fb160bca4d
4.595219 4010 4000 1341999343 3957 3603267093 160 1 2 1 16 f14f687e0601e659e471d7fb160bca4d
4.612539 4000 4010 1758153794 18296 2511037200 160 1 2 1 16 f16cadbe0718e06ad4760dca9404e50c
4.615526 4010 4000 1341999343 3958 3603267253 160 1 2 1 16 f16cadbe0718e06ad4760dca9404e50c
4.632868 4000 4010 1758153794 18297 2511037360 160 1 2 1 16 f14f66be0601e67b4c715ff241b6242b
4.634893 4010 4000 1341999343 3959 3603267413 160 1 2 1 16 f14f66be0601e67b4c715ff241b6242b
4.652225 4000 4010 1758153794 18298 2511037520 160 1 2 1 16 f16cadbe0718e0fb4c716cc633202103
4.655198 4010 4000 1341999343 3960 3603267573 160 1 2 1 16 f16cadbe0718e0fb4c716cc633202103
4.672530 4000 4010 1758153794 18299 2511037680 160 1 2 1 16 f14f687e0601e6fa5c7557ff25040513
4.675504 4010 4000 1341999343 3961 3603267733 160 1 2 1 16 f14f687e0601e6fa5c7557ff25040513
4.692849 4000 4010 1758153794 18300 2511037840 160 1 2 1 16 f16ca87e0738c031e473b7cba233e101
4.694819 4010 4000 1341999343 3962 3603267893 160 1 2 1 16 f16ca87e0738c031e473b7cba233e101
4.712220 4000 4010 1758153794 18301 2511038000 160 1 2 1 16 f14f6dbe0601e698f4731ff93134afc4
4.715157 4010 4000 1341999343 3963 3603268053 160 1 2 1 16 f14f6dbe0601e698f4731ff93134afc4
4.732554 4000 4010 1758153794 18302 2511038160 160 1 2 1 16 f16ca6be07f8002f9470f609fd58c5ce
4.735564 4010 4000 1341999343 3964 3603268213 160 1 2 1 16 f16ca6be07f8002f9470f609fd58c5ce
4.752912 4000 4010 1758153794 18303 2511038320 160 1 2 1 16 f14f6dbe0700ee487c730de65848329d
4.754894 4010 4000 1341999343 3965 3603268373 160 1 2 1 16 f14f6dbe0700ee487c730de65848329d
4.772253 4000 4010 1758153794 18304 2511038480 160 1 2 1 16 f16ca87e0798601d2c767fca87e8bc05
4.775208 4010 4000 1341999343 3966 3603268533 160 1 2 1 16 f16ca87e0798601d2c767fca87e8bc05
4.792603 4000 4010 1758153794 18305 2511038640 160 1 2 1 16 f14f687e0601e67a5c715ff99a5a6203
4.795532 4010 4000 1341999343 3967 3603268693 160 1 2 1 16 f14f687e0601e67a5c715ff99a5a6203
4.812958 4000 4010 1758153794 18306 2511038800 160 1 2 1 16 f16cadbe0718e07ad47476ee2d9c1b5c
4.814875 4010 4000 1341999343 3968 3603268853 160 1 2 1 16 f16cadbe0718e07ad47476ee2d9c1b5c
4.832271 4000 4010 1758153794 18307 2511038960 160 1 2 1 16 f14f66be0601e67ad47747e8546b3d76
4.835219 4010 4000 1341999343 3969 3603269013 160 1 2 1 16 f14f66be0601e67ad47747e8546b3d76
4.852597 4000 4010 1758153794 18308 2511039120 160 1 2 1 16 f16cadbe0798619d2c734dc6a1297c2a
4.855578 4010 4000 1341999343 3970 3603269173 160 1 2 1 16 f16cadbe0798619d2c734dc6a1297c2a
4.872939 4000 4010 1758153794 18309 2511039280 160 1 2 1 16 f14f687e0601e6f96c77a7f32c4a55c8
4.874891 4010 4000 1341999343 3971 3603269333 160 1 2 1 16 f14f687e0601e6f96c77a7f32c4a55c8
4.892260 4000 4010 1758153794 18310 2511039440 160 1 2 1 16 f16ca87e0758a03bc475a6ca19116a28
4.895215 4010 4000 1341999343 3972 3603269493 160 1 2 1 16 f16ca87e0758a03bc475a6ca19116a28
4.912672 4000 4010 1758153794 18311 2511039600 160 1 2 1 16 f14f6dbe0600f63d6c7345d15352e96f
4.915612 4010 4000 1341999343 3973 3603269653 160 1 2 1 16 f14f6dbe0600f63d6c7345d15352e96f
4.932985 4000 4010 1758153794 18312 2511039760 160 1 2 1 16 f16ca6be06c935778c767ea48c069664
4.934943 4010 4000 1341999343 3974 3603269813 160 1 2 1 16 f16ca6be06c935778c767ea48c069664
4.952340 4000 4010 1758153794 18313 2511039920 160 1 2 1 16 f14f6dbe0700eea83c71a7e8e0d89a85
4.955269 4010 4000 1341999343 3975 3603269973 160 1 2 1 16 f14f6dbe0700eea83c71a7e8e0d89a85
4.972677 4000 4010 1758153794 18314 2511040080 160 1 2 1 16 f16ca87e06d920cbd477654643279457
4.975582 4010 4000 1341999343 3976 3603270133 160 1 2 1 16 f16ca87e06d920cbd477654643279457
4.993034 4000 4010 1758153794 18315 2511040240 160 1 2 1 16 f14f687e0700e648f4763ff4d2b60a09
4.994896 4010 4000 1341999343 3977 3603270293 160 1 2 1 16 f14f687e0700e648f4763ff4d2b60a09
5.012334 4000 4010 1758153794 18316 2511040400 160 1 2 1 16 f16cadbe0718e1787c7117c94028858c
5.015230 4010 4000 1341999343 3978 3603270453 160 1 2 1 16 f16cadbe0718e1787c7117c94028858c
5.032677 4000 4010 1758153794 18317 2511040560 160 1 2 1 16 f14f66be0700e6787c7777fcb2209594
5.035580 4010 4000 1341999343 3979 3603270613 160 1 2 1 16 f14f66be0700e6787c7777fcb2209594
5.052994 4000 4010 1758153794 18318 2511040720 160 1 2 1 16 f16cadbe0718e0f87c70f7c89697a388
5.054871 4010 4000 1341999343 3980 3603270773 160 1 2 1 16 f16cadbe0718e0f87c70f7c89697a388
5.072310 4000 4010 1758153794 18319 2511040880 160 1 2 1 16 f14f687e0601e6fc3c76e7f205b68449
5.075201 4010 4000 1341999343 3981 3603270933 160 1 2 1 16 f14f687e0601e6fc3c76e7f205b68449
5.092647 4000 4010 1758153794 18320 2511041040 160 1 2 1 16 f16ca87e07d8201784758fc550845a9c
5.095548 4010 4000 1341999343 3982 3603271093 160 1 2 1 16 f16ca87e07d8201784758fc550845a9c
5.112987 4000 4010 1758153794 18321 2511041200 160 1 2 1 16 f14f6dbe0601ee196c76cfe280478d55
5.114867 4010 4000 1341999343 3983 3603271253 160 1 2 1 16 f14f6dbe0601ee196c76cfe280478d55
5.132316 4000 4010 1758153794 18322 2511041360 160 1 2 1 16 f16ca6be06f9007f84718606c5b6ce44
5.135185 4010 4000 1341999343 3984 3603271413 160 1 2 1 16 f16ca6be06f9007f84718606c5b6ce44
5.152658 4000 4010 1758153794 18323 2511041520 160 1 2 1 16 f14f6dbe0601ee783c710fe658c8221d
5.155515 4010 4000 1341999343 3985 3603271573 160 1 2 1 16 f14f6dbe0601ee783c710fe658c8221d
5.173034 4000 4010 1758153794 18324 2511041680 160 1 2 1 16 f16ca87e0778800f84773dca14129527
5.174820 4010 4000 1341999343 3986 3603271733 160 1 2 1 16 f16ca87e0778800f84773dca14129527
5.192381 4000 4010 1758153794 18325 2511041840 160 1 2 1 16 f14f687e0601e618f4731ff96299820f
5.195170 4010 4000 1341999343 3987 3603271893 160 1 2 1 16 f14f687e0601e618f4731ff96299820f
5.212720 4000 4010 1758153794 18326 2511042000 160 1 2 1 16 f16cadbe0798601da4706f458a887f80
5.215485 4010 4000 1341999343 3988 3603272053 160 1 2 1 16 f16cadbe0798601da4706f458a887f80
5.232078 4000 4010 1758153794 18327 2511042160 160 1 2 1 16 f14f66be0601e67b4c71bff72969f58b
5.234798 4010 4000 1341999343 3989 3603272213 160 1 2 1 16 f14f66be0601e67b4c71bff72969f58b
5.252409 4000 4010 1758153794 18328 2511042320 160 1 2 1 16 f16cadbe0718e0fad4743ec3130e8ea9
5.255124 4010 4000 1341999343 3990 3603272373 160 1 2 1 16 f16cadbe0718e0fad4743ec3130e8ea9
5.272725 4000 4010 1758153794 18329 2511042480 160 1 2 1 16 f14f687e0601e678f470bff85138a503
5.275439 4010 4000 1341999343 3991 3603272533 160 1 2 1 16 f14f687e0601e678f470bff85138a503
5.292059 4000 4010 1758153794 18330 2511042640 160 1 2 1 16 f16ca87e039c711bc476c7e95441d913
5.294775 4010 4000 1341999343 3992 3603272693 160 1 2 1 16 f16ca87e039c711bc476c7e95441d913
5.312402 4000 4010 1758153794 18331 2511042800 160 1 2 1 16 f14f6dbe0601fe196c771fca13169c2f
5.315068 4010 4000 1341999343 3993 3603272853 160 1 2 1 16 f14f6dbe0601fe196c771fca13169c2f
5.332768 4000 4010 1758153794 18332 2511042960 160 1 2 1 16 f16ca6be0659a07f8472cf43a0728cb3
5.335402 4010 4000 1341999343 3994 3603273013 160 1 2 1 16 f16ca6be0659a07f8472cf43a0728cb3
5.352092 4000 4010 1758153794 18333 2511043120 160 1 2 1 16 f14f6dbe0700ee487c71a5e8e850ab8d
5.354753 4010 4000 1341999343 3995 3603273173 160 1 2 1 16 f14f6dbe0700ee487c71a5e8e850ab8d
5.372483 4000 4010 1758153794 18334 2511043280 160 1 2 1 16 f16ca87e069960de94755fc6cfe6facb
